neighborhood,avgOverallEquityScore,Percent Hispanic,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Hawaiian/Pacific Islander,Percent Other Race,Percent Two or More Races,Median Household Income,Per Capita Income,Median Home Value,Percent Living in Poverty,population_density,percent_less_hs,percent_at_hs,percent_some_college,percent_bachelors,program_count_per1000,crime_per1000
Platt Park,4.19999981,10.75154998,75.62377136,0.81657342,0.0,1.45168607,0.0,0.3024346,11.05398458,122567,73086,686172,6.75,3122.4329822017985,1.2407444466680007,5.603362017210326,14.728837302381429,78.42705623374025,44.306668682897325,351.27778617873884
Regis,2.4000001,24.97890295,66.35021097,1.54008439,0.2742616,2.89029536,1.16033755,0.0,2.80590717,86017,40183,466000,19.0,1799.2353368095019,6.115591397849462,23.823924731182796,22.547043010752688,47.513440860215056,5.063291139240507,324.0506329113924
Rosedale,3.9000001,18.50350166,70.43862882,5.23405824,0.40545522,2.83818651,0.0,0.0,2.58016955,89400,54712,593000,7.5,1859.7062974627884,3.6509349955476402,8.370436331255565,24.04274265360641,63.935886019590384,38.33394765941762,337.6336159233321
Ruby Hill,2.29999995,67.9971848,22.32053087,2.38286748,0.21114016,4.36356324,0.0,0.82445204,1.90026141,50000,26886,341032,19.2,2646.9766579484435,31.89742112087595,31.393171012822357,16.352110646880853,20.357297219420833,59.62195857631208,342.348682887593
Skyland,2.5999999,15.14177141,55.27623502,22.94650687,0.20461853,0.0,0.0,0.0,6.43086817,81462,52932,538700,10.7,1731.5922757491355,4.224352147674831,12.70855520056798,26.411075612353567,56.656017039403615,83.01666179479685,308.6816720257235
Sloan Lake,3.0999999,19.31619666,72.98477664,1.49737959,0.0,2.20863489,0.0,0.43673571,3.55627652,110343,67479,625925,14.73333333,2212.9806367561278,6.963155331926635,8.683655250770979,14.786560623275442,69.56662879402694,37.434489643124536,339.90516595957075
South Park Hill,4.0,10.55680721,72.23473876,7.47773844,0.11801309,3.54039266,0.53642313,0.16092694,5.37495977,140009,78446,754310,4.35,2416.4186547390727,2.267884322678843,6.468797564687975,14.885844748858448,76.37747336377473,33.365518721167255,256.4102564102564
Southmoor Park,3.5999999,6.33057851,82.72727273,3.33884298,0.26446281,3.80165289,0.0,0.0,3.53719008,85404,62985,535028,8.95,2508.3900255761896,1.820785597381342,7.508183306055646,19.005728314238954,71.66530278232406,3.140495867768595,340.3305785123967
Speer,3.20000005,8.95509932,83.81739276,1.17676515,0.0166917,2.19495911,0.0,0.25872142,3.58037056,73490,64413,464418,6.625,5421.504364023139,2.746893394375409,4.2791740633467255,17.985611510791365,74.9883210314865,6.676681689200467,500.9180437322651
Sun Valley,2.0999999,44.57193292,7.76699029,40.33539276,3.08914387,4.06001765,0.0,0.0,0.17652251,19650,7970,535700,77.7,681.5967678078233,33.9662447257384,41.35021097046413,14.345991561181433,10.337552742616033,91.79170344218889,1960.2824360105913
Sunnyside,2.4000001,41.22210516,47.67742553,4.92290011,0.66085624,2.20285413,0.09577627,0.49803659,2.72004597,80444,46448,499822,17.23333333,2833.569767243197,15.88896865278775,14.955731036133047,18.56903565446279,50.58626465661642,60.62637678383297,371.0372569677234
Union Station,4.19999981,9.31849791,79.50857673,0.60268892,0.0,8.19425127,0.0,0.0,2.37598516,94961,103118,732075,10.8,7599.28002089006,1.676489849377865,4.230517354289456,15.022920759659463,79.07007203667321,0.8113120074177098,1278.975428836347
University,3.5999999,10.20963515,76.9098972,3.79963717,0.82644628,4.1322314,0.0,0.18141504,3.94073775,101020,49072,588213,12.7,3076.4684208264657,1.3494567122327374,6.309148264984227,22.450052576235542,69.89134244654748,23.6847409796412,247.6315259020359
University Hills,3.5,9.65465465,78.10810811,4.00900901,0.33033033,3.34834835,0.0,0.3003003,4.24924925,94306,55542,451063,6.2,1773.042029858811,7.484045639141365,12.647456971572229,23.225681686327597,56.642815702958806,53.15315315315315,465.31531531531533
University Park,3.70000005,13.11881188,71.83428869,4.52058364,0.5601876,5.21104742,0.0,0.0,4.75508077,65663,63862,759215,14.5,2551.3252273792546,1.5320597692453186,7.508984301115945,21.127293361074333,69.8316625685644,34.78374153204794,372.5898905680042
Valverde,1.60000002,79.12881435,19.0542744,0.0,0.18634987,1.63056138,0.0,0.0,0.0,42236,20687,324000,19.8,1727.771443879781,28.63232682060391,35.66607460035524,21.49200710479574,14.209591474245114,7.91986955508968,574.1905427440018
Villa Park,1.60000002,68.46145163,26.48154419,2.7542612,0.6885653,0.4853821,0.0,0.0,1.12879558,43094,30582,349650,27.05,3461.850664407999,27.702362996480645,26.69683257918552,20.982068040891573,24.618736383442265,51.13443955299695,471.15927305564963
Virginia Village,2.5,18.19952973,66.27477326,8.04165267,0.50386295,2.85522338,0.16795432,0.30231777,3.65468593,71116,44837,476054,9.55,2960.804312941257,5.998233215547703,15.697879858657243,23.851590106007066,54.45229681978798,26.33523681558616,311.2529392005374
Washington Park,4.19999981,6.97069296,89.13996165,0.86277732,0.32867707,1.12298001,0.09586415,0.39715147,1.08189537,172933,107544,837921,5.25,1867.8230002378846,1.8626929217668973,6.120276742948376,8.958665957069362,83.05836437821537,71.62421254450835,241.4407011777595
Washington Park West,4.19999981,7.51828773,83.54104579,0.7992414,0.0,2.7363858,0.0,0.0,5.40503928,97920,70630,680135,6.35,3268.745501213359,1.5232674924673586,6.5952460662872445,12.855708068295948,79.02577837294945,29.802221620157137,388.3771335681387
Washington Virginia Vale,3.20000005,15.6751269,54.80879865,17.88155668,0.08798646,4.50084602,0.0,1.21827411,5.82741117,56282,38425,437046,13.175,3121.6442130260616,5.0513538748832865,16.937441643323996,24.827264239028946,53.183940242763775,36.41285956006768,360.13536379018615
Wellshire,4.0999999,16.03007519,82.37593985,0.0,0.0,1.32330827,0.27067669,0.0,0.0,138500,72657,771300,3.2,1383.64870880697,2.002503128911139,9.345014601585316,11.222361284939508,77.43012098456404,73.68421052631578,97.44360902255639
West Colfax,1.79999995,35.81744656,55.40150202,5.47852879,0.22145195,1.00134797,0.0,0.04814173,2.03158097,81517,60322,594483,9.625,3998.114475262782,7.201447527141133,17.599517490952955,20.965018094089263,54.23401688781665,48.04544579241286,759.5802041209321
West Highland,3.79999995,8.57113423,83.05346657,0.39147007,0.14422582,1.85433193,0.26784794,0.0,5.71752344,100303,72896,614838,6.45,3341.051113262424,1.1251758087201125,7.5182201764480245,25.827899245620767,65.5287047692111,27.093849799114043,348.61440197795406
Westwood,2.0,82.30825502,12.60480558,2.79669124,0.81593608,1.00725902,0.0,0.03939002,0.42766305,37824,16674,287424,30.025,4587.971071522614,38.330961577556415,36.287863386867244,16.070339499898353,9.310835535677983,38.658488548759216,348.545382927241
Whittier,2.9000001,22.07385771,56.01919466,14.62549551,0.73023159,3.10870019,0.04172752,0.0,3.40079282,110313,58190,516200,10.1,3288.937012285344,6.426155580608793,9.977452085682074,17.531003382187148,66.06538895152198,13.97871896515752,445.0239933235969
Windsor,2.29999995,23.52900552,50.11049724,17.08563536,0.0,4.04696133,0.0,0.69060773,4.53729282,47684,36506,221983,16.975,3273.1543304823235,7.410963687150838,19.718924581005588,30.18505586592179,42.68505586592179,0.0,277.9696132596685
