neighborhood,program_count,total_cime_incidents,theft_from_motor_vehicle,auto_theft,public_disorder,larceny,all_other_crimes,burglary,drug_alcohol,other_crimes_against_persons,aggravated_assault,robbery,white_collar_crime,arson,murder,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Total Population All,crime_per1000,theft_mv_per1000,auto_theft_per1000,disorder_per1000,larceny_per1000,other_per1000,burglary_per1000,drug_alcohol_per1000,crime_against_persons_per1000,assult_per1000,robbery_per1000,white_collar_per1000,arson_per1000,murder_per1000
Highland,594.0,5854,1488,868,916,1059,333,646,73,177,139,72,68,10,5,3.5,4.0,3.0,2,3.0,3.0999999,11248,520.4480796586059,132.29018492176385,77.16927453769559,81.4366998577525,94.15007112375534,29.605263157894736,57.432432432432435,6.490042674253201,15.736130867709814,12.357752489331435,6.401137980085348,6.0455192034139404,0.8890469416785206,0.4445234708392603
Hilltop,751.0,2101,523,413,322,341,94,228,16,55,37,16,51,4,1,5.0,4.5,4.0,5,3.0,4.30000019,8886,236.43934278640558,58.85662840423138,46.477605221697054,36.236776952509565,38.3749718658564,10.578437992347514,25.65833896016205,1.8005851901868106,6.189511591267162,4.163853252307,1.8005851901868106,5.739365293720459,0.45014629754670266,0.11253657438667566
Indian Creek,21.0,691,169,157,128,88,36,47,4,12,14,5,28,1,2,4.5,3.5,3.0,5,1.5,3.5,4000,172.75,42.25,39.25,32.0,22.0,9.0,11.75,1.0,3.0,3.5,1.25,7.0,0.25,0.5
Jefferson Park,22.0,2578,592,446,379,522,175,225,42,51,80,35,23,2,6,2.0,2.0,3.0,3,5.0,3.0,3795,679.3148880105401,155.99472990777338,117.52305665349144,99.86824769433466,137.54940711462453,46.1133069828722,59.28853754940711,11.067193675889328,13.438735177865613,21.080368906455863,9.22266139657444,6.0606060606060606,0.5270092226613965,1.5810276679841897
Kennedy,13.0,2172,346,602,359,146,198,141,72,94,125,45,35,5,4,2.0,1.0,4.0,4,3.0,2.79999995,4138,524.8912518124698,83.61527307878202,145.48090865152247,86.75688738521025,35.28274528757854,47.849202513291445,34.07443209279845,17.399710004833253,22.716288061865637,30.207829869502174,10.874818753020783,8.458192363460608,1.208313194780087,0.9666505558240696
Lincoln Park,329.0,8074,1173,1170,1459,1096,1026,575,317,588,376,152,103,28,11,1.0,1.5,1.5,1,4.0,1.79999995,6566,1229.6679865976241,178.64757843435882,178.19067925677734,222.20530003045994,166.92049954310082,156.25951873286627,87.57234236978373,48.27901309777642,89.55223880597015,57.264696923545536,23.149558330795003,15.686871763630826,4.264392324093817,1.675296984465428
Lowry Field,447.0,3947,899,747,758,595,227,352,30,136,93,44,59,2,5,4.0,4.0,3.0,3,3.5,3.5,9011,438.0201975363445,99.76695150371769,82.8986793918544,84.11940961047608,66.03040727999112,25.191432693374765,39.0633669958939,3.329264232604594,15.092664521140827,10.320719121074243,4.882920874486738,6.547552990789036,0.2219509488403063,0.5548773721007657
Mar Lee,949.0,3764,537,655,620,337,640,219,165,194,229,80,70,7,11,2.0,1.5,2.5,2,3.5,2.29999995,13354,281.863112176127,40.21267036094054,49.04897409016025,46.4280365433578,25.23588437921222,47.92571514153063,16.39958064999251,12.355848434925866,14.527482402276473,17.148419949078928,5.990714392691329,5.241875093604912,0.5241875093604913,0.8237232289950577
Marston,284.0,2257,489,437,353,408,138,173,17,63,54,41,75,6,3,4.0,4.0,3.0,5,2.0,3.5999999,12116,186.28260151865302,40.35985473753714,36.068009243974906,29.135028062066688,33.67448002641136,11.389897655992076,14.278639815120501,1.4031033344338066,5.199735886431165,4.456916474083856,3.383955100693298,6.190161769560911,0.49521294156487294,0.24760647078243647
Montbello,1353.0,10076,1440,2175,1613,848,1702,569,246,328,695,239,174,30,17,1.5,1.0,3.0,3,3.0,2.29999995,35167,286.5186111979981,40.947479170813544,61.84775499758296,45.866863821196006,24.113515511701312,48.39764551994768,16.179941422356183,6.995194358347314,9.326925811129751,19.76284584980237,6.796144112378082,4.947820399806637,0.8530724827252822,0.48340774021099325
Montclair,37.0,2727,364,334,311,872,203,249,54,97,91,78,67,4,3,5.0,5.0,3.5,4,3.5,4.19999981,6307,432.37672427461547,57.71365149833518,52.95703186935152,49.31029015379737,138.25907721579196,32.186459489456155,39.479942920564454,8.561915332170603,15.37973680038053,14.428412874583795,12.367211035357538,10.62311717139686,0.6342159505311559,0.4756619628983669
North Capitol Hill,93.0,7415,1030,691,1337,1007,987,507,775,445,346,135,129,23,3,3.0,2.0,2.5,1,5.0,2.70000005,7295,1016.4496230294721,141.19259766963674,94.72241261137766,183.27621658670324,138.03975325565457,135.2981494174092,69.49965729952022,106.23714873200822,61.00068540095956,47.42974640164496,18.50582590815627,17.683344756682658,3.152844413982179,0.41124057573680606
North Park Hill,586.0,2012,412,367,298,263,224,198,29,64,77,25,48,5,2,4.0,3.5,3.5,2,2.0,3.0,11554,174.13882638047428,35.65864635624026,31.763891293058684,25.79193352951359,22.76267959148347,19.387225203392767,17.136922277998963,2.509953262939242,5.539207200969361,6.664358663666263,2.163752812878657,4.154405400727021,0.43275056257573136,0.17310022503029254
Northeast Park Hill,217.0,6954,1054,1435,1038,782,883,553,180,364,341,106,188,23,7,1.5,2.0,3.0,1,3.0,2.0999999,9009,771.8947718947718,116.994116994117,159.2851592851593,115.21811521811522,86.8020868020868,98.01309801309802,61.38306138306138,19.98001998001998,40.40404040404041,37.85103785103785,11.766011766011767,20.868020868020867,2.553002553002553,0.777000777000777
Overland,27.0,2982,626,458,432,408,205,428,154,92,94,33,35,14,3,2.0,2.0,2.0,1,1.5,1.70000005,3339,893.0817610062893,187.48128182090446,137.16681641209942,129.3800539083558,122.19227313566937,61.39562743336328,128.1820904462414,46.12159329140461,27.553159628631327,28.15214135968853,9.883198562443846,10.482180293501049,4.1928721174004195,0.8984725965858041
Platt Park,293.0,2323,659,355,321,355,91,378,29,53,27,18,31,5,1,4.5,4.5,4.5,4,3.5,4.19999981,6613,351.27778617873884,99.65220021170423,53.682141236957506,48.54075306215031,53.682141236957506,13.760774232572206,57.16013911991532,4.385301678512022,8.014516860728868,4.082867079993951,2.7219113866626343,4.687736277030092,0.7560864962951762,0.15121729925903524
Regis,24.0,1536,330,290,252,184,110,144,86,37,47,25,27,3,1,2.5,3.5,1.5,2,2.5,2.4000001,4740,324.0506329113924,69.62025316455696,61.18143459915612,53.164556962025316,38.81856540084389,23.206751054852322,30.379746835443036,18.143459915611814,7.805907172995781,9.915611814345992,5.274261603375527,5.69620253164557,0.6329113924050633,0.2109704641350211
